Country,Policy,Year,Biomass,Catch,Profits,MSY
Country I,Fmsy,2047,117416520.1117639,9144639.848480588,6452482400.071833,9222433.938241249
Country I,Fmsy,2048,117467622.76586582,9143103.791197754,6436597675.558403,9222433.938241249
Country I,Fmsy,2049,117495556.90459156,9140959.268461494,6420289421.888901,9222433.938241249
Country I,Fmsy,2050,117541491.50277448,9139870.382566135,6405604040.640843,9222433.938241249
Country I,Opt,2013,159527386.57651627,31505861.364643738,25506875383.279953,9222433.938241249
Country I,Opt,2014,134855682.64747888,8302392.156960603,9557063894.568699,9222433.938241249
Country I,Opt,2015,135799467.98551342,7804522.914878801,8572937223.241629,9222433.938241249
Country I,Opt,2016,137272892.58800766,7670738.967191742,8202731111.816906,9222433.938241249
Country I,Opt,2017,138897625.7099319,7620878.501810548,8043418054.294811,9222433.938241249
Country I,Opt,2018,140563745.43932846,7623221.81951071,8009388803.689721,9222433.938241249
Country I,Opt,2019,142217884.95396402,7652864.039998782,8042199858.64142,9222433.938241249
Country I,Opt,2020,143863312.96293536,7695959.7994696945,8112317077.198122,9222433.938241249
Country I,Opt,2021,145381177.00817087,7747333.601492853,8201058242.005982,9222433.938241249
Country I,Opt,2022,146800173.1167739,7803219.3766043,8300907137.075137,9222433.938241249
Country I,Opt,2023,148042313.17917225,7857124.880731567,8401073525.667687,9222433.938241249
Country I,Opt,2024,149171952.1157594,7911817.175524058,8503427127.915762,9222433.938241249
Country I,Opt,2025,150258439.1695601,7964223.807608367,8603833069.988277,9222433.938241249
Country I,Opt,2026,151264361.10580787,8013044.414082139,8698844605.152855,9222433.938241249
Country I,Opt,2027,152192590.52962616,8058924.267150894,8789428988.279345,9222433.938241249
Country I,Opt,2028,153067965.30339056,8103210.367845365,8876690057.448551,9222433.938241249
Country I,Opt,2029,153886111.3222678,8144599.534857227,8959450451.268604,9222433.938241249
Country I,Opt,2030,154614171.78248528,8181893.092024918,9035533923.769354,9222433.938241249
Country I,Opt,2031,155266356.60129932,8216136.263725186,9106105245.028633,9222433.938241249
Country I,Opt,2032,155933372.9249433,8249631.841798348,9174987886.954185,9222433.938241249
Country I,Opt,2033,156541628.9681291,8280296.192870494,9238035161.705244,9222433.938241249
Country I,Opt,2034,157107182.7889806,8308569.575589509,9296578980.176163,9222433.938241249
Country I,Opt,2035,157573739.82363385,8332850.585994855,9347273719.638927,9222433.938241249
Country I,Opt,2036,158029065.58762953,8355509.87841086,9394082499.944849,9222433.938241249
Country I,Opt,2037,158460691.96007964,8376521.194643039,9438161944.620586,9222433.938241249
Country I,Opt,2038,158847036.59656888,8395669.685454443,9478175339.233717,9222433.938241249
Country I,Opt,2039,159203067.0362915,8413167.300409196,9514850349.282911,9222433.938241249
Country I,Opt,2040,159538818.27123806,8429288.75421798,9548643359.94854,9222433.938241249
Country I,Opt,2041,159843773.01561478,8443775.773468524,9579104660.213598,9222433.938241249
Country I,Opt,2042,160125471.07106924,8457083.232172178,9607322266.592009,9222433.938241249
Country I,Opt,2043,160381610.81999952,8469130.207080115,9632909430.194998,9222433.938241249
Country I,Opt,2044,160602163.2189127,8479689.393520206,9655409895.49948,9222433.938241249
Country I,Opt,2045,160773339.76925743,8488181.10148071,9672397314.70598,9222433.938241249
Country I,Opt,2046,160943053.12807164,8496259.04639351,9689466829.841366,9222433.938241249
Country I,Opt,2047,161077775.36459595,8503217.36690822,9704482807.092272,9222433.938241249
Country I,Opt,2048,161223175.5606318,8509985.770469457,9718960999.975273,9222433.938241249
Country I,Opt,2049,161353101.03810242,8515953.721903535,9731709793.125587,9222433.938241249
Country I,Opt,2050,161468424.33904812,8521228.375557456,9742973408.826748,9222433.938241249
Country E,Business As Usual,2013,30478491.619087953,1840153.1441761502,609900832.0066788,1845873.3002868423
Country E,Business As Usual,2014,30503124.95402524,1882940.882554935,988444490.320259,1845873.3002868423
Country E,Business As Usual,2015,30446294.73505155,1909981.5258320833,883063439.2578813,1845873.3002868423
Country E,Business As Usual,2016,30275587.919386156,1915954.7565076353,734469349.3131233,1845873.3002868423
Country E,Business As Usual,2017,30077841.146584205,1917872.9713960488,629066489.7859625,1845873.3002868423
Country E,Business As Usual,2018,29887580.075425066,1926954.7078486213,512777141.063419,1845873.3002868423
Country E,Business As Usual,2019,29523008.46615421,1910950.3654752001,433961268.24909425,1845873.3002868423
Country E,Business As Usual,2020,29094413.57170237,1885947.466283147,333037411.49520147,1845873.3002868423
Country E,Business As Usual,2021,28693674.8226852,1843654.4738400194,245583634.1432968,1845873.3002868423
Country E,Business As Usual,2022,28184314.98077717,1823536.5580491482,155300786.81028786,1845873.3002868423
Country E,Business As Usual,2023,27737270.616539747,1804580.4430413314,102425379.25698721,1845873.3002868423
Country E,Business As Usual,2024,27278917.98412892,1762000.6610465853,15704804.064303383,1845873.3002868423
Country E,Business As Usual,2025,26888916.956990167,1719462.1800408165,-36867287.73220448,1845873.3002868423
Country E,Business As Usual,2026,26443669.448351864,1672046.3556362374,-91109837.71352373,1845873.3002868423
Country E,Business As Usual,2027,26102791.806681853,1615555.2174984957,-124329082.54870749,1845873.3002868423
Country E,Business As Usual,2028,25798317.590843797,1569569.7379623204,-164162390.25023863,1845873.3002868423
Country E,Business As Usual,2029,25586715.299643025,1519090.225416739,-178878985.3380595,1845873.3002868423
Country E,Business As Usual,2030,25334355.71053584,1477863.9600091437,-192697554.30617124,1845873.3002868423
Country E,Business As Usual,2031,25160437.68477625,1440440.2629843415,-191269813.71638536,1845873.3002868423
Country E,Business As Usual,2032,25077970.418973263,1417916.0016527702,-196341233.25924423,1845873.3002868423
Country E,Business As Usual,2033,24946488.069025822,1395395.433630633,-187147242.83999366,1845873.3002868423
Country E,Business As Usual,2034,24846731.789568495,1372320.4337454601,-175700423.70032984,1845873.3002868423
Country E,Business As Usual,2035,24802762.97157321,1345763.2615370536,-159357794.2740725,1845873.3002868423
Country E,Business As Usual,2036,24793921.505651336,1334165.136128638,-137677051.84995183,1845873.3002868423
Country E,Business As Usual,2037,24780371.418996826,1324582.8758709899,-109186981.55504912,1845873.3002868423
Country E,Business As Usual,2038,24815977.048880756,1303106.330953086,-78363757.65945764,1845873.3002868423
Country E,Business As Usual,2039,24878549.66427407,1290076.896401773,-46724044.82821378,1845873.3002868423
Country E,Business As Usual,2040,24943592.969410934,1282367.203433923,-26081768.001937553,1845873.3002868423
Country E,Business As Usual,2041,25024906.227989282,1272220.0630945044,3830526.7966227885,1845873.3002868423
Country E,Business As Usual,2042,25106536.93528462,1261744.9472446842,27737210.983625215,1845873.3002868423
Country E,Business As Usual,2043,25171970.585833646,1254398.3166414404,52571168.95409574,1845873.3002868423
Country E,Business As Usual,2044,25233494.978556167,1253187.0821748115,66197142.13877752,1845873.3002868423
Country E,Business As Usual,2045,25307396.90764827,1255118.9667887017,93765119.09351316,1845873.3002868423
