Country,Policy,Year,Biomass,Catch,Profits
Australia,Opt,2029,385509.5724015209,28579.298026335247,90453382.81076439
Australia,Opt,2030,387902.7744258582,28815.296148794285,90742252.5935657
Australia,Opt,2031,390048.98551011045,29024.8680440059,91007358.03968693
Australia,Opt,2032,391974.21901975427,29218.443727764494,91256826.52861774
Australia,Opt,2033,393694.2515515348,29398.420767891123,91492336.6663493
Australia,Opt,2034,395222.69293950463,29559.86635473346,91709106.21102305
Australia,Opt,2035,396578.32099064975,29706.200466929207,91909168.46798317
Australia,Opt,2036,397776.6466573047,29838.55366543531,92093655.7487293
Australia,Opt,2037,398832.19421124365,29956.06490187669,92260629.21200974
Australia,Opt,2038,399760.45070716256,30060.208840470714,92411561.50408758
Australia,Opt,2039,400575.48166209913,30152.537227902892,92547951.83941464
Australia,Opt,2040,401289.8258708794,30238.302619735612,92675310.55886038
Australia,Opt,2041,401910.7724376791,30313.593322841072,92788641.53486204
Australia,Opt,2042,402449.55910693173,30379.148107828158,92889030.91058573
Australia,Opt,2043,402916.649909289,30436.21278603654,92977931.23701645
Australia,Opt,2044,403321.21204070386,30486.15619927912,93057298.55819967
Australia,Opt,2045,403670.98953116173,30529.38722716119,93127029.98449421
Australia,Opt,2046,403973.26562946726,30566.744326245353,93188116.35998519
Australia,Opt,2047,404234.4290968326,30599.001960309284,93241565.82357661
Australia,Opt,2048,404460.04025357997,30626.93424427167,93288487.2751768
Australia,Opt,2049,404654.8346685028,30651.111515481367,93329636.11672822
Australia,Opt,2050,404822.9321268648,30672.192868689737,93366034.07245655
Canada,Business As Usual,2013,503098.76267903333,145751.207760029,285992169.4949225
Canada,Business As Usual,2014,561026.9461740464,140968.2575228706,321799300.1496244
Canada,Business As Usual,2015,651736.6974290417,154186.04274580014,341193004.4820593
Canada,Business As Usual,2016,743210.2017953508,164143.44428302147,354393582.1993432
Canada,Business As Usual,2017,836603.2953878094,187367.79063582452,401067935.0276217
Canada,Business As Usual,2018,913491.6472004036,200175.78336854855,424391139.43432486
